logical_day,product_group,item_id,item_name,item_type,port_id,port_name,listed_unit_price_before_tax,port_tax_rate,npc_pays_player,ordinary_quantity,is_infinite
2026-09-05,craft,2975,Ball Ammo,Resource,225,Almirante,14,0.05,1,938.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,253,Belize,14,0.05,1,16588.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,243,Black River,14,0.05,1,19449.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,350,Bone Cay,14,0.05,1,501809.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,161,Bridgetown,14,0.05,1,3875.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,269,Campeche,14,0.05,1,10252.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,193,Caracas,14,0.05,1,40651.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,74,Cayman Brac,14,0.05,1,71136.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,323,Cayo Biscayno,14,0.05,1,7991.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,333,Charleston,14,0.05,1,946.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,258,Chinchorro,14,0.05,1,1204.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,66,Corrientes,14,0.05,1,78798.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,241,Croata,14,0.05,1,7775.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,361,Crown Haven,14,0.05,1,500000.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,214,Dariena,14,0.05,1,500000.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,135,Fort Baai,14,0.05,1,10641.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,311,Gasparilla,14,0.05,1,2291.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,16,Governor's Harbour,14,0.05,1,348.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,374,Guacata,14,0.05,1,628.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,179,Guayaguayare,14,0.05,1,500000.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,106,Higüey,14,0.05,1,20230.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,370,Island Harbour,14,0.05,1,25610.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,83,Jacmel,14,0.05,1,3739.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,313,Key West,14,0.05,1,533.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,357,Kidd's Harbour,14,0.05,1,2692.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,100,La Isabela,14,0.05,1,1.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,307,Las Sabinas,14,0.05,1,6943.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,314,Las Tortugas,14,0.05,1,2642.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,29,Little Inagua,14,0.05,1,3632.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,55,Manzanillo,14,0.05,1,734.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,11,Mimbres,14,0.05,1,500000.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,297,Nouvelle-Orléans,14,0.05,1,16211.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,46,Nuevitas,14,0.05,1,910.0,False
2026-09-05,craft,2975,Ball Ammo,Resource,180,Pedernales,14,0.05,1,1000.0,False
