logical_day,product_group,item_id,item_name,item_type,port_id,port_name,listed_unit_price_before_tax,port_tax_rate,npc_pays_player,ordinary_quantity,is_infinite
2026-09-25,craft,28,Hemp,Resource,133,Gustavia,99,0.1,26,2.0,False
2026-09-25,craft,28,Hemp,Resource,174,Willemstad,99,0.1,26,44.0,False
2026-09-25,craft,29,Iron Ore,Resource,63,Batabanó,105,0.1,28,100.0,False
2026-09-25,craft,29,Iron Ore,Resource,269,Campeche,105,0.1,28,37.0,False
2026-09-25,craft,29,Iron Ore,Resource,333,Charleston,105,0.1,28,35.0,False
2026-09-25,craft,29,Iron Ore,Resource,48,Guibara,105,0.1,28,508.0,False
2026-09-25,craft,29,Iron Ore,Resource,88,Jérémie,105,0.1,28,101.0,False
2026-09-25,craft,29,Iron Ore,Resource,100,La Isabela,105,0.1,28,3.0,False
2026-09-25,craft,29,Iron Ore,Resource,169,Puerto de España,105,0.1,28,1.0,False
2026-09-25,craft,29,Iron Ore,Resource,328,Sunbury,105,0.1,28,445.0,False
2026-09-25,craft,39,Oak Log,Resource,95,Port-de-Paix,17,0.1,5,5.0,False
2026-09-25,craft,887,Provisions,Material,103,Bahía Escocesa,26,0.1,7,20.0,False
2026-09-25,craft,887,Provisions,Material,50,Baracoa,26,0.1,7,112.0,False
2026-09-25,craft,887,Provisions,Material,237,Brangman's Bluff,26,0.1,7,281.0,False
2026-09-25,craft,887,Provisions,Material,242,Brewers,26,0.1,7,125.0,False
2026-09-25,craft,887,Provisions,Material,269,Campeche,26,0.1,7,61.0,False
2026-09-25,craft,887,Provisions,Material,193,Caracas,26,0.1,7,5.0,False
2026-09-25,craft,887,Provisions,Material,44,Cayo Romano,26,0.1,7,29.0,False
2026-09-25,craft,887,Provisions,Material,135,Fort Baai,26,0.1,7,22.0,False
2026-09-25,craft,887,Provisions,Material,359,Frozen Cay,26,0.1,7,6.0,False
2026-09-25,craft,887,Provisions,Material,153,Grand Anse,26,0.1,7,2.0,False
2026-09-25,craft,887,Provisions,Material,367,Green Cay,26,0.1,7,5.0,False
2026-09-25,craft,887,Provisions,Material,83,Jacmel,26,0.1,7,31.0,False
2026-09-25,craft,887,Provisions,Material,357,Kidd's Harbour,26,0.1,7,117.0,False
2026-09-25,craft,887,Provisions,Material,307,Las Sabinas,26,0.1,7,377.0,False
2026-09-25,craft,887,Provisions,Material,314,Las Tortugas,26,0.1,7,10.0,False
2026-09-25,craft,887,Provisions,Material,235,Old Providence,26,0.1,7,27.0,False
2026-09-25,craft,887,Provisions,Material,352,Pedro Cay,26,0.1,7,115.0,False
2026-09-25,craft,887,Provisions,Material,65,Pinar del Río,26,0.1,7,6.0,False
2026-09-25,craft,887,Provisions,Material,91,Port-au-Prince,26,0.1,7,60.0,False
